Date,Open,High,Low,Close,Adj Close,Volume
2015-08-28,5.666670,5.666670,5.523330,5.523330,3.787644,416700
2015-08-31,5.553330,5.553330,5.403330,5.443330,3.732784,511800
2015-09-01,5.430000,5.443330,5.283330,5.443330,3.732784,722100
2015-09-02,5.463330,5.710000,5.410000,5.633330,3.863077,1271100
2015-09-03,5.656670,5.783330,5.626670,5.710000,3.915655,815100
2015-09-04,5.676670,5.773330,5.676670,5.740000,3.936226,842100
2015-09-08,5.703330,5.806670,5.703330,5.806670,3.981945,864300
2015-09-09,5.833330,5.886670,5.803330,5.863330,4.020800,1176300
2015-09-10,5.700000,5.870000,5.700000,5.870000,4.025374,1126800
2015-09-11,5.870000,5.966670,5.796670,5.873330,4.027659,834000
2015-09-14,5.893330,6.136670,5.876670,6.026670,4.132812,1795800
2015-09-15,6.080000,6.123330,5.976670,6.050000,4.148810,1413000
2015-09-16,6.110000,6.110000,5.993330,6.000000,4.114522,849900
2015-09-17,6.030000,6.083330,6.010000,6.063330,4.157952,631500
2015-09-18,6.083330,6.083330,5.770000,5.973330,4.096234,763500
2015-09-21,5.976670,6.003330,5.823330,5.866670,4.023092,500400
2015-09-22,5.836670,5.883330,5.806670,5.830000,3.997944,627000
2015-09-23,5.833330,5.933330,5.780000,5.933330,4.068803,448500
2015-09-24,5.906670,5.946670,5.816670,5.883330,4.034516,2714400
2015-09-25,5.913330,5.970000,5.843330,5.883330,4.034516,902400
2015-09-28,5.883330,5.916670,5.830000,5.896670,4.043664,233100
2015-09-29,5.896670,5.970000,5.820000,5.866670,4.023092,1040100
2015-09-30,5.836670,5.983330,5.836670,5.876670,4.029949,659100
2015-10-01,5.876670,6.043330,5.860000,6.016670,4.125955,248100
2015-10-02,6.000000,6.166670,5.980000,6.110000,4.189955,1105800
2015-10-05,6.110000,6.303330,6.033330,6.100000,4.183098,945900
2015-10-06,6.106670,6.216670,6.100000,6.116670,4.194530,651600
2015-10-07,6.143330,6.270000,6.133330,6.180000,4.237959,659400
